#;pH;Temprature;Taste;Odor;Fat ;Turbidity;Colour;Grade
1;6.6;35;1;0;1;0;254;high
2;6.6;36;0;1;0;1;253;high
3;8.5;70;1;1;1;1;246;low
4;9.5;34;1;1;0;1;255;low
5;6.6;37;0;0;0;0;255;medium
6;6.6;37;1;1;1;1;255;high
7;5.5;45;1;0;1;1;250;low
8;4.5;60;0;1;1;1;250;low
9;8.1;66;1;0;1;1;255;low
10;6.7;45;1;1;0;0;247;medium
11;6.7;45;1;1;1;0;245;medium
12;5.6;50;0;1;1;1;255;low
13;8.6;55;0;1;1;1;255;low
14;7.4;90;1;0;1;1;255;low
15;6.8;45;0;1;1;1;255;high
16;6.5;38;1;0;0;0;255;medium
17;4.7;38;1;0;1;0;255;low
18;3;40;1;1;1;1;255;low
19;9;43;1;0;1;1;250;low
20;6.8;40;1;0;1;0;245;medium
21;6.6;45;0;1;1;1;250;high
22;6.5;36;0;0;1;0;255;medium
23;4.5;38;0;1;1;1;255;low
24;6.6;45;1;1;1;1;245;high
25;6.8;35;1;0;1;0;246;medium
26;6.5;36;0;1;1;0;253;high
27;8.5;70;0;0;0;0;246;low
28;6.6;34;0;0;0;1;240;medium
29;6.5;37;0;0;0;0;245;medium
30;6.6;37;1;0;1;0;255;high
31;6.4;45;0;1;0;0;240;medium
32;6.5;40;0;1;0;1;250;low
33;6.8;42;1;1;1;1;255;high
34;6.7;41;1;0;0;0;247;medium
35;6.7;50;1;1;1;0;245;low
36;6.8;45;0;1;1;1;255;high
37;8.6;55;0;1;0;0;255;low
38;7.4;65;0;0;0;0;255;low
39;6.8;41;0;0;0;0;255;medium
40;6.5;38;1;1;1;1;255;high
41;6.8;38;0;0;0;0;255;medium
42;3;40;1;0;0;0;255;low
43;9;43;1;1;1;1;248;low
44;6.8;40;1;1;1;1;255;high
45;6.6;45;0;0;0;1;250;medium
46;6.5;36;0;0;0;0;247;medium
47;6.6;38;0;0;0;0;255;medium
48;6.8;45;1;1;1;0;245;high
49;9.5;34;1;1;0;1;255;low
50;6.5;37;0;0;0;0;255;medium
51;6.6;37;1;1;1;1;255;high
52;5.5;45;1;0;1;1;250;low
53;4.5;60;0;1;1;1;250;low
54;8.1;66;1;0;1;1;255;low
